Data,Timestamp,Viewer Count
2023-03-10,14:25:37,10992
2023-03-10,14:27:37,10992
2023-03-10,14:29:37,10116
2023-03-10,14:31:37,10116
2023-03-10,14:33:37,10505
2023-03-10,14:35:38,10505
2023-03-10,14:37:38,10505
2023-03-10,14:39:38,12172
2023-03-10,14:41:38,11050
2023-03-10,14:43:38,11050
2023-03-10,14:45:38,12867
2023-03-10,14:47:39,12867
2023-03-10,14:49:39,13220
2023-03-10,14:51:39,13220
2023-03-10,14:53:39,12670
2023-03-10,14:55:39,12670
2023-03-10,14:57:39,13012
2023-03-10,14:59:40,13012
2023-03-10,15:01:40,13012
2023-03-10,15:03:40,13377
2023-03-10,15:05:40,13377
2023-03-10,15:07:40,13542
2023-03-10,15:09:40,13542
2023-03-10,15:11:41,13670
2023-03-10,15:13:41,13670
2023-03-10,15:15:41,13455
2023-03-10,15:17:41,13455
2023-03-10,15:19:41,13718
2023-03-10,15:21:41,13718
2023-03-10,15:23:41,12647
2023-03-10,15:25:42,12647
2023-03-10,15:27:42,13511
2023-03-10,15:29:42,13511
2023-03-10,15:31:42,13705
2023-03-10,15:33:42,13705
2023-03-10,15:35:42,13898
2023-03-10,15:37:43,13898
2023-03-10,15:39:43,13898
2023-03-10,15:41:43,13898
2023-03-10,15:43:43,13898
2023-03-10,15:45:43,14165
2023-03-10,15:47:43,14165
2023-03-10,15:49:44,13956
2023-03-10,15:51:44,13956
2023-03-10,15:53:44,14551
2023-03-10,15:55:44,14551
2023-03-10,15:57:44,14772
2023-03-10,15:59:44,14772
2023-03-10,16:01:44,14772
2023-03-10,16:03:45,14772
2023-03-10,16:05:45,14417
2023-03-10,16:07:45,14417
2023-03-10,16:09:45,13060
2023-03-10,16:11:45,13060
2023-03-10,16:13:45,13250
2023-03-10,16:15:46,13250
2023-03-10,16:17:46,13589
2023-03-10,16:19:46,13589
2023-03-10,16:21:46,13589
2023-03-10,16:23:46,13154
2023-03-10,16:25:46,13154
2023-03-10,16:27:46,13377
2023-03-10,16:29:47,13377
2023-03-10,16:31:47,12944
2023-03-10,16:33:47,13130
2023-03-10,16:35:47,13130
2023-03-10,16:37:47,12987
2023-03-10,16:39:47,12987
2023-03-10,16:41:48,13257
2023-03-10,16:43:48,13257
2023-03-10,16:45:48,12487
2023-03-10,16:47:48,12487
2023-03-10,16:49:48,12723
2023-03-10,16:51:48,12723
2023-03-10,16:53:48,13211
2023-03-10,16:55:49,13211
2023-03-10,16:57:49,13211
2023-03-10,16:59:49,13211
2023-03-10,17:01:49,13565
2023-03-10,17:03:49,13565
2023-03-10,17:05:50,14019
2023-03-10,17:07:50,14019
2023-03-10,17:09:50,14753
2023-03-10,17:11:50,14753
2023-03-10,17:13:50,14753
2023-03-10,17:15:50,14753
2023-03-10,17:17:51,14550
2023-03-10,17:19:51,14550
2023-03-10,17:21:51,12869
2023-03-10,17:23:51,12869
2023-03-10,17:25:51,12869
2023-03-10,17:27:51,12869
2023-03-10,17:29:52,13177
2023-03-10,17:31:52,13177
2023-03-10,17:33:52,13177
2023-03-10,17:35:52,12607
2023-03-10,17:37:52,12607
2023-03-10,17:39:52,12607
2023-03-10,17:41:53,12935
2023-03-10,17:43:53,12935
2023-03-10,17:45:53,13226
2023-03-10,17:47:53,13226
2023-03-10,17:49:53,13226
2023-03-10,17:51:53,13264
2023-03-10,17:53:53,13541
2023-03-10,17:55:54,13541
2023-03-10,17:57:54,13419
2023-03-10,17:59:54,13419
2023-03-10,18:01:54,13419
2023-03-10,18:03:54,13614
2023-03-10,18:05:54,13614
2023-03-10,18:07:55,13828
2023-03-10,18:09:55,13828
2023-03-10,18:11:55,13828
2023-03-10,18:13:55,13828
2023-03-10,18:15:55,13590
2023-03-10,18:17:55,13590
2023-03-10,18:19:56,13590
2023-03-10,18:21:56,12431
2023-03-10,18:23:56,12431
2023-03-10,18:25:56,12426
2023-03-10,18:27:56,12426
2023-03-10,18:29:56,12426
2023-03-10,18:31:57,12324
2023-03-10,18:33:57,12757
2023-03-10,18:35:57,12757
2023-03-10,18:37:57,12757
2023-03-10,18:39:57,12671
2023-03-10,18:41:57,12671
2023-03-10,18:43:57,12621
2023-03-10,18:45:58,12621
2023-03-10,18:47:58,12621
2023-03-10,18:49:58,13472
2023-03-10,18:51:58,13472
2023-03-10,18:53:58,12853
2023-03-10,18:55:58,12853
2023-03-10,18:57:59,12947
2023-03-10,18:59:59,12947
2023-03-10,19:01:59,12868
2023-03-10,19:03:59,12868
2023-03-10,19:05:59,13253
2023-03-10,19:07:59,13253
2023-03-10,19:10:00,13855
2023-03-10,19:12:00,13855
2023-03-10,19:14:00,15428
2023-03-10,19:16:00,15428
2023-03-10,19:18:00,15126
2023-03-10,19:20:01,15126
2023-03-10,19:22:01,15818
2023-03-10,19:24:01,15818
2023-03-10,19:26:01,15818
2023-03-10,19:28:01,15818
2023-03-10,19:30:01,15500
2023-03-10,19:32:01,11075
2023-03-10,19:34:02,11075
2023-03-10,19:36:02,10485
2023-03-10,19:38:02,10485
2023-03-10,19:40:02,10640
2023-03-10,19:42:02,10640
2023-03-10,19:44:02,10764
2023-03-10,19:46:03,10764
2023-03-10,19:48:03,10633
2023-03-10,19:50:03,10868
2023-03-10,19:52:03,10868
2023-03-10,19:54:03,11585
2023-03-10,19:56:03,11585
2023-03-10,19:58:03,11058
2023-03-10,20:00:04,11058
2023-03-10,20:02:04,10908
2023-03-10,20:04:04,10908
2023-03-10,20:06:04,10908
2023-03-10,20:08:04,11347
2023-03-10,20:10:04,11388
2023-03-10,20:12:05,11388
2023-03-10,20:14:05,11256
2023-03-10,20:16:05,11256
2023-03-10,20:18:05,11521
2023-03-10,20:20:05,11521
2023-03-10,20:22:05,11588
2023-03-10,20:24:06,11588
2023-03-10,20:26:06,11603
2023-03-10,20:28:06,11603
2023-03-10,20:30:06,11561
2023-03-10,20:32:06,11561
2023-03-10,20:34:06,11561
2023-03-10,20:36:06,11551
2023-03-10,20:38:07,11551
2023-03-10,20:40:07,11385
2023-03-10,20:42:22,11385
2023-03-10,20:44:22,11385
2023-03-10,20:46:23,11306
2023-03-10,20:48:23,11306
2023-03-10,20:50:23,11630
2023-03-10,20:52:23,12030
2023-03-10,20:54:23,12030
2023-03-10,20:56:24,11903
2023-03-10,20:58:25,11637
2023-03-10,21:00:25,11637
2023-03-10,21:02:25,11637
2023-03-10,21:04:25,11796
2023-03-10,21:06:25,12493
2023-03-10,21:08:25,12493
2023-03-10,21:10:27,12792
2023-03-10,21:12:27,12792
2023-03-10,21:14:27,11924
2023-03-10,21:16:27,11924
2023-03-10,21:18:27,11924
2023-03-10,21:20:27,11595
